Year,Temp
188001,-0.16
188002,-0.18
188003,-0.19
188004,-0.19
188005,-0.19
188006,-0.19
188007,-0.21
188008,-0.2
188009,-0.2
188010,-0.2
188011,-0.19
188012,-0.17
188101,-0.16
188102,-0.14
188103,-0.13
188104,-0.12
188105,-0.1
188106,-0.1
188107,-0.09
188108,-0.09
188109,-0.09
188110,-0.1
188111,-0.1
188112,-0.09
188201,-0.08
188202,-0.07
188203,-0.07
188204,-0.09
188205,-0.11
188206,-0.11
188207,-0.13
188208,-0.13
188209,-0.13
188210,-0.13
188211,-0.13
188212,-0.15
188301,-0.18
188302,-0.2
188303,-0.2
188304,-0.2
188305,-0.21
188306,-0.18
188307,-0.17
188308,-0.18
188309,-0.19
188310,-0.19
188311,-0.19
188312,-0.18
188401,-0.19
188402,-0.17
188403,-0.2
188404,-0.21
188405,-0.23
188406,-0.25
188407,-0.27
188408,-0.28
188409,-0.28
188410,-0.29
188411,-0.3
188412,-0.29
188501,-0.31
188502,-0.32
188503,-0.31
188504,-0.31
188505,-0.31
188506,-0.32
188507,-0.32
188508,-0.31
188509,-0.3
188510,-0.29
188511,-0.28
188512,-0.28
188601,-0.27
188602,-0.28
188603,-0.28
188604,-0.27
188605,-0.27
188606,-0.26
188607,-0.25
188608,-0.26
188609,-0.25
188610,-0.26
188611,-0.26
188612,-0.27
188701,-0.3
188702,-0.31
188703,-0.3
188704,-0.31
188705,-0.31
188706,-0.31
188707,-0.32
188708,-0.32
188709,-0.31
188710,-0.32
188711,-0.32
188712,-0.33
188801,-0.29
188802,-0.27
188803,-0.27
188804,-0.26
188805,-0.25
188806,-0.24
188807,-0.21
188808,-0.2
188809,-0.2
188810,-0.16
188811,-0.13
188812,-0.09
188901,-0.08
188902,-0.03
188903,0
188904,0.02
188905,0.05
188906,0.05
188907,0.04
188908,0.04
188909,0.05
188910,0.02
188911,-0.01
188912,-0.04
189001,-0.07
189002,-0.12
189003,-0.16
189004,-0.19
189005,-0.23
189006,-0.25
189007,-0.26
189008,-0.28
189009,-0.3
189010,-0.31
189011,-0.32
189012,-0.33
189101,-0.32
189102,-0.34
189103,-0.32
189104,-0.31
189105,-0.3
189106,-0.28
189107,-0.27
189108,-0.26
189109,-0.24
189110,-0.24
189111,-0.23
189112,-0.22
189201,-0.21
189202,-0.17
189203,-0.17
189204,-0.18
189205,-0.19
189206,-0.2
189207,-0.22
189208,-0.23
189209,-0.23
189210,-0.24
189211,-0.24
189212,-0.25
189301,-0.28
189302,-0.31
189303,-0.32
189304,-0.33
189305,-0.33
189306,-0.33
189307,-0.32
189308,-0.31
189309,-0.32
189310,-0.32
189311,-0.32
189312,-0.32
189401,-0.32
189402,-0.32
189403,-0.32
189404,-0.32
189405,-0.32
189406,-0.34
189407,-0.34
189408,-0.33
189409,-0.33
189410,-0.34
189411,-0.33
189412,-0.32
189501,-0.3
189502,-0.29
189503,-0.29
189504,-0.27
189505,-0.27
189506,-0.25
189507,-0.25
189508,-0.24
189509,-0.23
189510,-0.22
189511,-0.21
189512,-0.21
189601,-0.19
189602,-0.18
189603,-0.17
189604,-0.18
189605,-0.17
189606,-0.16
189607,-0.16
189608,-0.15
189609,-0.14
189610,-0.12
189611,-0.12
189612,-0.1
189701,-0.1
189702,-0.1
189703,-0.1
189704,-0.07
189705,-0.05
189706,-0.06
189707,-0.05
189708,-0.05
189709,-0.06
189710,-0.08
189711,-0.08
189712,-0.09
189801,-0.1
189802,-0.11
189803,-0.13
189804,-0.16
189805,-0.18
189806,-0.18
189807,-0.19
189808,-0.2
189809,-0.2
189810,-0.21
189811,-0.23
189812,-0.25
189901,-0.26
189902,-0.26
189903,-0.24
189904,-0.23
189905,-0.24
189906,-0.24
189907,-0.24
189908,-0.23
189909,-0.22
189910,-0.2
189911,-0.17
189912,-0.15
190001,-0.15
190002,-0.12
190003,-0.1
190004,-0.09
190005,-0.07
190006,-0.06
190007,-0.06
190008,-0.06
190009,-0.07
190010,-0.05
190011,-0.06
190012,-0.05
190101,-0.05
190102,-0.06
190103,-0.05
190104,-0.04
190105,-0.04
190106,-0.05
190107,-0.05
190108,-0.05
190109,-0.06
190110,-0.09
190111,-0.1
190112,-0.11
190201,-0.1
190202,-0.1
190203,-0.13
190204,-0.16
190205,-0.17
190206,-0.17
190207,-0.18
190208,-0.19
190209,-0.19
190210,-0.19
190211,-0.2
190212,-0.22
190301,-0.22
190302,-0.24
190303,-0.23
190304,-0.24
190305,-0.25
190306,-0.26
190307,-0.28
190308,-0.29
190309,-0.31
190310,-0.33
190311,-0.34
190312,-0.36
190401,-0.39
190402,-0.42
190403,-0.43
190404,-0.44
190405,-0.45
190406,-0.47
190407,-0.47
190408,-0.47
190409,-0.47
190410,-0.46
190411,-0.45
190412,-0.43
190501,-0.4
190502,-0.4
190503,-0.38
190504,-0.37
190505,-0.34
190506,-0.32
190507,-0.3
190508,-0.28
190509,-0.27
190510,-0.26
190511,-0.26
190512,-0.25
190601,-0.25
190602,-0.23
190603,-0.23
190604,-0.2
190605,-0.2
190606,-0.2
190607,-0.19
190608,-0.19
190609,-0.18
190610,-0.17
190611,-0.18
190612,-0.16
190701,-0.16
190702,-0.19
190703,-0.19
190704,-0.22
190705,-0.25
190706,-0.27
190707,-0.28
190708,-0.29
190709,-0.29
190710,-0.3
190711,-0.31
190712,-0.34
190801,-0.36
190802,-0.34
190803,-0.36
190804,-0.37
190805,-0.37
190806,-0.36
190807,-0.37
190808,-0.38
190809,-0.39
190810,-0.41
190811,-0.41
190812,-0.42
190901,-0.43
190902,-0.45
190903,-0.44
190904,-0.45
190905,-0.45
190906,-0.46
190907,-0.47
190908,-0.46
190909,-0.45
190910,-0.44
190911,-0.42
190912,-0.42
191001,-0.4
191002,-0.4
191003,-0.4
191004,-0.38
191005,-0.37
191006,-0.36
191007,-0.35
191008,-0.35
191009,-0.35
191010,-0.35
191011,-0.36
191012,-0.37
191101,-0.39
191102,-0.4
191103,-0.42
191104,-0.42
191105,-0.43
191106,-0.44
191107,-0.45
191108,-0.46
191109,-0.46
191110,-0.45
191111,-0.43
191112,-0.4
191201,-0.38
191202,-0.35
191203,-0.33
191204,-0.31
191205,-0.29
191206,-0.27
191207,-0.26
191208,-0.27
191209,-0.28
191210,-0.31
191211,-0.32
191212,-0.33
191301,-0.34
191302,-0.35
191303,-0.36
191304,-0.37
191305,-0.39
191306,-0.41
191307,-0.4
191308,-0.39
191309,-0.37
191310,-0.35
191311,-0.35
191312,-0.32
191401,-0.29
191402,-0.27
191403,-0.26
191404,-0.24
191405,-0.22
191406,-0.21
191407,-0.2
191408,-0.19
191409,-0.18
191410,-0.16
191411,-0.14
191412,-0.14
191501,-0.15
191502,-0.14
191503,-0.12
191504,-0.09
191505,-0.08
191506,-0.07
191507,-0.06
191508,-0.05
191509,-0.05
191510,-0.06
191511,-0.07
191512,-0.09
191601,-0.09
191602,-0.1
191603,-0.11
191604,-0.14
191605,-0.16
191606,-0.17
191607,-0.19
191608,-0.2
191609,-0.21
191610,-0.22
191611,-0.26
191612,-0.3
191701,-0.34
191702,-0.38
191703,-0.41
191704,-0.44
191705,-0.46
191706,-0.47
191707,-0.46
191708,-0.46
191709,-0.45
191710,-0.46
191711,-0.45
191712,-0.43
191801,-0.43
191802,-0.41
191803,-0.39
191804,-0.38
191805,-0.37
191806,-0.37
191807,-0.38
191808,-0.39
191809,-0.38
191810,-0.35
191811,-0.34
191812,-0.31
191901,-0.27
191902,-0.26
191903,-0.25
191904,-0.21
191905,-0.19
191906,-0.19
191907,-0.19
191908,-0.2
191909,-0.2
191910,-0.21
191911,-0.23
191912,-0.23
192001,-0.24
192002,-0.24
192003,-0.23
192004,-0.25
192005,-0.25
192006,-0.25
192007,-0.25
192008,-0.24
192009,-0.24
192010,-0.24
192011,-0.23
192012,-0.23
192101,-0.23
192102,-0.23
192103,-0.24
192104,-0.25
192105,-0.25
192106,-0.24
192107,-0.23
192108,-0.22
192109,-0.22
192110,-0.2
192111,-0.19
192112,-0.17
192201,-0.18
192202,-0.19
192203,-0.18
192204,-0.17
192205,-0.18
192206,-0.18
192207,-0.2
192208,-0.21
192209,-0.22
192210,-0.24
192211,-0.24
192212,-0.24
192301,-0.25
192302,-0.24
192303,-0.26
192304,-0.27
192305,-0.27
192306,-0.26
192307,-0.26
192308,-0.27
192309,-0.27
192310,-0.26
192311,-0.26
192312,-0.25
192401,-0.24
192402,-0.23
192403,-0.2
192404,-0.19
192405,-0.18
192406,-0.18
192407,-0.18
192408,-0.18
192409,-0.18
192410,-0.19
192411,-0.2
192412,-0.23
192501,-0.25
192502,-0.27
192503,-0.28
192504,-0.28
192505,-0.29
192506,-0.29
192507,-0.29
192508,-0.27
192509,-0.27
192510,-0.25
192511,-0.24
192512,-0.21
192601,-0.16
192602,-0.12
192603,-0.09
192604,-0.08
192605,-0.08
192606,-0.07
192607,-0.07
192608,-0.07
192609,-0.06
192610,-0.05
192611,-0.05
192612,-0.07
192701,-0.11
192702,-0.13
192703,-0.16
192704,-0.19
192705,-0.19
192706,-0.19
192707,-0.19
192708,-0.18
192709,-0.17
192710,-0.17
192711,-0.17
192712,-0.17
192801,-0.16
192802,-0.15
192803,-0.14
192804,-0.14
192805,-0.13
192806,-0.14
192807,-0.14
192808,-0.15
192809,-0.15
192810,-0.17
192811,-0.17
192812,-0.16
192901,-0.18
192902,-0.21
192903,-0.22
192904,-0.23
192905,-0.24
192906,-0.26
192907,-0.28
192908,-0.28
192909,-0.29
192910,-0.28
192911,-0.29
192912,-0.32
193001,-0.32
193002,-0.3
193003,-0.29
193004,-0.27
193005,-0.25
193006,-0.23
193007,-0.2
193008,-0.2
193009,-0.19
193010,-0.18
193011,-0.15
193012,-0.11
193101,-0.09
193102,-0.08
193103,-0.08
193104,-0.08
193105,-0.07
193106,-0.06
193107,-0.06
193108,-0.05
193109,-0.04
193110,-0.03
193111,-0.05
193112,-0.05
193201,-0.04
193202,-0.04
193203,-0.04
193204,-0.03
193205,-0.03
193206,-0.04
193207,-0.06
193208,-0.08
193209,-0.09
193210,-0.09
193211,-0.11
193212,-0.13
193301,-0.15
193302,-0.16
193303,-0.16
193304,-0.18
193305,-0.19
193306,-0.2
193307,-0.2
193308,-0.2
193309,-0.22
193310,-0.23
193311,-0.23
193312,-0.24
193401,-0.25
193402,-0.23
193403,-0.24
193404,-0.24
193405,-0.23
193406,-0.22
193407,-0.21
193408,-0.19
193409,-0.17
193410,-0.16
193411,-0.13
193412,-0.1
193501,-0.11
193502,-0.09
193503,-0.08
193504,-0.09
193505,-0.1
193506,-0.12
193507,-0.12
193508,-0.12
193509,-0.13
193510,-0.13
193511,-0.15
193512,-0.15
193601,-0.15
193602,-0.19
193603,-0.19
193604,-0.17
193605,-0.16
193606,-0.15
193607,-0.15
193608,-0.14
193609,-0.14
193610,-0.13
193611,-0.12
193612,-0.11
193701,-0.09
193702,-0.07
193703,-0.07
193704,-0.07
193705,-0.06
193706,-0.05
193707,-0.05
193708,-0.04
193709,-0.02
193710,-0.02
193711,0
193712,-0.01
193801,0
193802,0
193803,0.03
193804,0.04
193805,0.04
193806,0.03
193807,0.03
193808,0.02
193809,0.01
193810,0.01
193811,0.01
193812,0
193901,0
193902,-0.01
193903,-0.04
193904,-0.05
193905,-0.05
193906,-0.03
193907,-0.03
193908,-0.02
193909,-0.02
193910,-0.03
193911,-0.03
193912,0.02
194001,0.03
194002,0.05
194003,0.07
194004,0.1
194005,0.12
194006,0.12
194007,0.13
194008,0.12
194009,0.14
194010,0.15
194011,0.16
194012,0.15
194101,0.15
194102,0.17
194103,0.17
194104,0.17
194105,0.18
194106,0.19
194107,0.2
194108,0.21
194109,0.21
194110,0.22
194111,0.23
194112,0.23
194201,0.24
194202,0.21
194203,0.21
194204,0.2
194205,0.19
194206,0.18
194207,0.17
194208,0.15
194209,0.15
194210,0.12
194211,0.11
194212,0.09
194301,0.06
194302,0.07
194303,0.06
194304,0.06
194305,0.05
194306,0.03
194307,0.04
194308,0.04
194309,0.03
194310,0.05
194311,0.06
194312,0.07
194401,0.1
194402,0.12
194403,0.15
194404,0.15
194405,0.17
194406,0.2
194407,0.2
194408,0.22
194409,0.24
194410,0.24
194411,0.24
194412,0.24
194501,0.23
194502,0.21
194503,0.19
194504,0.2
194505,0.19
194506,0.19
194507,0.18
194508,0.2
194509,0.19
194510,0.18
194511,0.17
194512,0.15
194601,0.15
194602,0.15
194603,0.14
194604,0.12
194605,0.11
194606,0.08
194607,0.07
194608,0.03
194609,0
194610,-0.01
194611,-0.02
194612,-0.04
194701,-0.05
194702,-0.05
194703,-0.05
194704,-0.04
194705,-0.04
194706,-0.02
194707,-0.02
194708,-0.01
194709,-0.02
194710,-0.01
194711,-0.01
194712,0
194801,0
194802,-0.01
194803,-0.03
194804,-0.05
194805,-0.04
194806,-0.05
194807,-0.05
194808,-0.05
194809,-0.05
194810,-0.05
194811,-0.06
194812,-0.07
194901,-0.06
194902,-0.06
194903,-0.04
194904,-0.04
194905,-0.05
194906,-0.06
194907,-0.06
194908,-0.06
194909,-0.07
194910,-0.07
194911,-0.07
194912,-0.06
195001,-0.09
195002,-0.09
195003,-0.1
195004,-0.11
195005,-0.11
195006,-0.1
195007,-0.1
195008,-0.1
195009,-0.09
195010,-0.1
195011,-0.12
195012,-0.13
195101,-0.14
195102,-0.15
195103,-0.16
195104,-0.16
195105,-0.16
195106,-0.15
195107,-0.14
195108,-0.13
195109,-0.11
195110,-0.08
195111,-0.06
195112,-0.03
195201,0.01
195202,0.05
195203,0.06
195204,0.08
195205,0.08
195206,0.08
195207,0.08
195208,0.08
195209,0.07
195210,0.06
195211,0.06
195212,0.05
195301,0.04
195302,0.04
195303,0.06
195304,0.07
195305,0.09
195306,0.1
195307,0.1
195308,0.1
195309,0.09
195310,0.1
195311,0.1
195312,0.1
195401,0.08
195402,0.06
195403,0.04
195404,0
195405,-0.02
195406,-0.05
195407,-0.05
195408,-0.07
195409,-0.07
195410,-0.08
195411,-0.08
195412,-0.09
195501,-0.07
195502,-0.08
195503,-0.09
195504,-0.1
195505,-0.09
195506,-0.1
195507,-0.1
195508,-0.09
195509,-0.08
195510,-0.09
195511,-0.11
195512,-0.12
195601,-0.14
195602,-0.14
195603,-0.13
195604,-0.13
195605,-0.14
195606,-0.14
195607,-0.14
195608,-0.17
195609,-0.18
195610,-0.19
195611,-0.18
195612,-0.16
195701,-0.16
195702,-0.15
195703,-0.14
195704,-0.12
195705,-0.09
195706,-0.06
195707,-0.05
195708,-0.02
195709,0.01
195710,0.03
195711,0.05
195712,0.06
195801,0.09
195802,0.12
195803,0.13
195804,0.13
195805,0.13
195806,0.12
195807,0.13
195808,0.11
195809,0.1
195810,0.1
195811,0.1
195812,0.09
195901,0.07
195902,0.07
195903,0.08
195904,0.08
195905,0.08
195906,0.09
195907,0.08
195908,0.09
195909,0.09
195910,0.09
195911,0.08
195912,0.08
196001,0.07
196002,0.08
196003,0.04
196004,0.02
196005,0
196006,-0.01
196007,-0.01
196008,-0.01
196009,-0.01
196010,0
196011,-0.01
196012,0.01
196101,0.01
196102,0.01
196103,0.05
196104,0.07
196105,0.08
196106,0.09
196107,0.1
196108,0.1
196109,0.1
196110,0.09
196111,0.11
196112,0.08
196201,0.07
196202,0.07
196203,0.08
196204,0.07
196205,0.05
196206,0.05
196207,0.04
196208,0.04
196209,0.03
196210,0.04
196211,0.04
196212,0.06
196301,0.05
196302,0.05
196303,0.03
196304,0.03
196305,0.03
196306,0.03
196307,0.03
196308,0.05
196309,0.06
196310,0.07
196311,0.07
196312,0.07
196401,0.07
196402,0.04
196403,0.03
196404,0.01
196405,0
196406,-0.01
196407,-0.02
196408,-0.04
196409,-0.08
196410,-0.11
196411,-0.14
196412,-0.16
196501,-0.17
196502,-0.17
196503,-0.16
196504,-0.16
196505,-0.15
196506,-0.15
196507,-0.16
196508,-0.15
196509,-0.13
196510,-0.11
196511,-0.09
196512,-0.07
196601,-0.08
196602,-0.07
196603,-0.06
196604,-0.05
196605,-0.05
196606,-0.04
196607,-0.02
196608,-0.02
196609,-0.02
196610,-0.03
196611,-0.03
196612,-0.03
196701,-0.02
196702,-0.04
196703,-0.03
196704,-0.02
196705,0
196706,-0.01
196707,-0.02
196708,-0.01
196709,-0.01
196710,0.01
196711,0.01
196712,0.01
196801,0
196802,0
196803,0.01
196804,0.01
196805,-0.01
196806,-0.01
196807,-0.02
196808,-0.03
196809,-0.03
196810,-0.04
196811,-0.04
196812,-0.05
196901,-0.04
196902,-0.04
196903,-0.04
196904,-0.02
196905,0
196906,0.01
196907,0.02
196908,0.03
196909,0.04
196910,0.05
196911,0.07
196912,0.1
197001,0.12
197002,0.15
197003,0.15
197004,0.14
197005,0.12
197006,0.12
197007,0.12
197008,0.11
197009,0.11
197010,0.1
197011,0.09
197012,0.06
197101,0.04
197102,0.01
197103,-0.01
197104,-0.02
197105,-0.02
197106,-0.03
197107,-0.04
197108,-0.04
197109,-0.04
197110,-0.05
197111,-0.06
197112,-0.06
197201,-0.07
197202,-0.06
197203,-0.05
197204,-0.04
197205,-0.04
197206,-0.02
197207,-0.01
197208,0.01
197209,0.01
197210,0.03
197211,0.04
197212,0.06
197301,0.1
197302,0.14
197303,0.16
197304,0.18
197305,0.21
197306,0.22
197307,0.22
197308,0.22
197309,0.22
197310,0.22
197311,0.22
197312,0.2
197401,0.17
197402,0.12
197403,0.09
197404,0.05
197405,0.03
197406,0.01
197407,0
197408,0
197409,-0.02
197410,-0.03
197411,-0.04
197412,-0.05
197501,-0.04
197502,-0.01
197503,0.01
197504,0.02
197505,0.04
197506,0.04
197507,0.04
197508,0.03
197509,0.03
197510,0.02
197511,0.01
197512,0.01
197601,0.01
197602,-0.01
197603,-0.03
197604,-0.04
197605,-0.07
197606,-0.08
197607,-0.08
197608,-0.08
197609,-0.08
197610,-0.09
197611,-0.07
197612,-0.05
197701,-0.03
197702,-0.01
197703,0.03
197704,0.05
197705,0.09
197706,0.12
197707,0.14
197708,0.16
197709,0.17
197710,0.19
197711,0.21
197712,0.21
197801,0.2
197802,0.19
197803,0.19
197804,0.18
197805,0.17
197806,0.15
197807,0.13
197808,0.11
197809,0.11
197810,0.11
197811,0.11
197812,0.11
197901,0.11
197902,0.09
197903,0.09
197904,0.09
197905,0.09
197906,0.1
197907,0.1
197908,0.13
197909,0.14
197910,0.16
197911,0.17
197912,0.2
198001,0.22
198002,0.26
198003,0.27
198004,0.3
198005,0.32
198006,0.32
198007,0.34
198008,0.34
198009,0.34
198010,0.33
198011,0.33
198012,0.31
198101,0.32
198102,0.32
198103,0.33
198104,0.33
198105,0.32
198106,0.32
198107,0.32
198108,0.33
198109,0.33
198110,0.33
198111,0.33
198112,0.35
198201,0.32
198202,0.3
198203,0.27
198204,0.25
198205,0.24
198206,0.22
198207,0.21
198208,0.19
198209,0.19
198210,0.18
198211,0.17
198212,0.17
198301,0.21
198302,0.23
198303,0.26
198304,0.27
198305,0.29
198306,0.3
198307,0.31
198308,0.33
198309,0.35
198310,0.35
198311,0.37
198312,0.35
198401,0.33
198402,0.31
198403,0.3
198404,0.29
198405,0.29
198406,0.27
198407,0.27
198408,0.25
198409,0.24
198410,0.23
198411,0.21
198412,0.19
198501,0.19
198502,0.18
198503,0.17
198504,0.17
198505,0.16
198506,0.16
198507,0.15
198508,0.15
198509,0.14
198510,0.14
198511,0.14
198512,0.16
198601,0.16
198602,0.19
198603,0.2
198604,0.2
198605,0.21
198606,0.21
198607,0.22
198608,0.22
198609,0.22
198610,0.22
198611,0.22
198612,0.23
198701,0.23
198702,0.23
198703,0.22
198704,0.22
198705,0.23
198706,0.24
198707,0.27
198708,0.28
198709,0.3
198710,0.31
198711,0.32
198712,0.34
198801,0.36
198802,0.37
198803,0.39
198804,0.41
198805,0.42
198806,0.43
198807,0.42
198808,0.42
198809,0.42
198810,0.43
198811,0.42
198812,0.4
198901,0.37
198902,0.36
198903,0.34
198904,0.33
198905,0.3
198906,0.29
198907,0.28
198908,0.28
198909,0.28
198910,0.27
198911,0.28
198912,0.29
199001,0.31
199002,0.32
199003,0.35
199004,0.38
199005,0.4
199006,0.42
199007,0.43
199008,0.43
199009,0.42
199010,0.43
199011,0.45
199012,0.45
199101,0.45
199102,0.46
199103,0.43
199104,0.42
199105,0.41
199106,0.43
199107,0.43
199108,0.44
199109,0.45
199110,0.44
199111,0.43
199112,0.42
199201,0.42
199202,0.41
199203,0.42
199204,0.41
199205,0.4
199206,0.38
199207,0.35
199208,0.32
199209,0.29
199210,0.27
199211,0.25
199212,0.24
199301,0.23
199302,0.23
199303,0.22
199304,0.22
199305,0.22
199306,0.22
199307,0.23
199308,0.24
199309,0.25
199310,0.27
199311,0.27
199312,0.27
199401,0.26
199402,0.23
199403,0.23
199404,0.23
199405,0.24
199406,0.25
199407,0.25
199408,0.26
199409,0.27
199410,0.28
199411,0.31
199412,0.33
199501,0.35
199502,0.41
199503,0.43
199504,0.44
199505,0.44
199506,0.44
199507,0.46
199508,0.48
199509,0.48
199510,0.48
199511,0.49
199512,0.48
199601,0.46
199602,0.44
199603,0.43
199604,0.41
199605,0.41
199606,0.4
199607,0.39
199608,0.38
199609,0.37
199610,0.35
199611,0.35
199612,0.35
199701,0.35
199702,0.34
199703,0.35
199704,0.35
199705,0.36
199706,0.38
199707,0.39
199708,0.39
199709,0.41
199710,0.45
199711,0.47
199712,0.49
199801,0.52
199802,0.55
199803,0.56
199804,0.59
199805,0.62
199806,0.63
199807,0.65
199808,0.67
199809,0.67
199810,0.65
199811,0.63
199812,0.63
199901,0.62
199902,0.61
199903,0.59
199904,0.56
199905,0.53
199906,0.5
199907,0.47
199908,0.44
199909,0.44
199910,0.43
199911,0.42
199912,0.41
200001,0.4
200002,0.39
200003,0.4
200004,0.42
200005,0.43
200006,0.42
200007,0.43
200008,0.43
200009,0.43
200010,0.43
200011,0.43
200012,0.41
200101,0.42
200102,0.41
200103,0.42
200104,0.41
200105,0.43
200106,0.44
200107,0.46
200108,0.47
200109,0.47
200110,0.49
200111,0.52
200112,0.55
200201,0.57
200202,0.59
200203,0.61
200204,0.62
200205,0.62
200206,0.63
200207,0.63
200208,0.63
200209,0.64
200210,0.64
200211,0.63
200212,0.62
200301,0.62
200302,0.62
200303,0.6
200304,0.6
200305,0.6
200306,0.59
200307,0.58
200308,0.59
200309,0.6
200310,0.61
200311,0.61
200312,0.63
200401,0.62
200402,0.63
200403,0.64
200404,0.64
200405,0.62
200406,0.62
200407,0.6
200408,0.59
200409,0.58
200410,0.57
200411,0.58
200412,0.56
200501,0.57
200502,0.57
200503,0.57
200504,0.58
200505,0.6
200506,0.62
200507,0.64
200508,0.65
200509,0.66
200510,0.67
200511,0.68
200512,0.69
200601,0.68
200602,0.69
200603,0.68
200604,0.67
200605,0.66
200606,0.66
200607,0.65
200608,0.66
200609,0.66
200610,0.66
200611,0.65
200612,0.65
200701,0.68
200702,0.68
200703,0.68
200704,0.7
200705,0.71
200706,0.7
200707,0.7
200708,0.69
200709,0.69
200710,0.68
200711,0.67
200712,0.65
200801,0.59
200802,0.56
200803,0.56
200804,0.54
200805,0.53
200806,0.52
200807,0.52
200808,0.52
200809,0.52
200810,0.53
200811,0.54
200812,0.54
200901,0.58
200902,0.6
200903,0.58
200904,0.59
200905,0.6
200906,0.61
200907,0.62
200908,0.64
200909,0.65
200910,0.65
200911,0.66
200912,0.67
201001,0.68
201002,0.7
201003,0.73
201004,0.75
201005,0.77
201006,0.77
201007,0.76
201008,0.76
201009,0.75
201010,0.75
201011,0.75
201012,0.73
201101,0.72
201102,0.69
201103,0.67
201104,0.65
201105,0.63
201106,0.63
201107,0.63
201108,0.63
201109,0.63
201110,0.63
201111,0.61
201112,0.62
201201,0.61
201202,0.61
201203,0.6
201204,0.61
201205,0.62
201206,0.63
201207,0.63
201208,0.62
201209,0.63
201210,0.64
201211,0.66
201212,0.66
201301,0.67
201302,0.68
201303,0.69
201304,0.68
201305,0.67
201306,0.67
201307,0.67
201308,0.67
201309,0.67
201310,0.66
201311,0.67
201312,0.68
201401,0.69
201402,0.68
201403,0.7
201404,0.71
201405,0.73
201406,0.73
201407,0.73
201408,0.74
201409,0.75
201410,0.76
201411,0.75
201412,0.76
201501,0.76
201502,0.79
201503,0.8
201504,0.8
201505,0.8
201506,0.81
201507,0.83
201508,0.83
201509,0.83
201510,0.86
201511,0.89
201512,0.92
201601,0.95
201602,0.99
201603,1.02
201604,1.04
201605,1.06
201606,1.05
201607,1.06
201608,1.08
201609,1.08
201610,1.06
201611,1.05
201612,1.03
201701,1.02
201702,1
201703,0.98
201704,0.96
201705,0.96
201706,0.95
201707,0.95
201708,0.94
201709,0.93
201710,0.94
201711,0.94
201712,0.94
201801,0.92
201802,0.91
201803,0.89
201804,0.88
201805,0.88
201806,0.88
201807,0.88
201808,0.87
201809,0.87
201810,0.88
201811,0.88
201812,0.87
201901,0.88
201902,0.88
201903,0.91
201904,0.92
201905,0.92
201906,0.93
201907,0.94
201908,0.95
201909,0.96
201910,0.96
201911,0.97
201912,0.99
202001,1.01
202002,1.03
202003,1.03
202004,1.04
202005,1.04
202006,1.05
202007,1.05
202008,1.04
202009,1.05
202010,1.04
202011,1.04
202012,1.02
202101,0.99
202102,0.95
202103,0.92
202104,0.9
202105,0.88
202106,0.87
202107,0.87
202108,0.87
202109,0.87
202110,0.87
202111,0.86
202112,0.87
202201,0.88
202202,0.9
202203,0.91
202204,0.92
202205,0.92
202206,0.93
202207,0.93
202208,0.93
202209,0.92
202210,0.92
202211,0.91
202212,0.9
202301,0.9
202302,0.91
202303,0.92
202304,0.93
202305,0.94
202306,0.95
202307,0.98
202308,1.01
202309,1.05
202310,1.09
202311,1.14
202312,1.19
202401,1.22
202402,1.26
202403,1.27
202404,1.29
202405,1.31
202406,1.32
202407,1.32
202408,1.32
202409,1.31
202410,1.3
202411,1.3
202412,1.29
202501,1.29
202502,1.28
202503,1.28
202504,1.27
202505,1.27
202506,1.25
202507,1.23
202508,1.22
